timestamp,ph,temperature,humidity,tds,plant_growth_rate
2024-01-01 00:00:00,6.5,25.3,65.2,320,2.1
2024-01-01 01:00:00,6.4,25.1,64.8,318,2.0
2024-01-01 02:00:00,6.6,25.4,65.5,322,2.2
2024-01-01 03:00:00,6.5,25.2,65.0,321,2.1
2024-01-01 04:00:00,6.7,25.5,66.1,325,2.3
2024-01-01 05:00:00,6.6,25.3,65.8,323,2.2
2024-01-01 06:00:00,6.5,25.4,65.3,321,2.1
2024-01-01 07:00:00,6.4,25.6,65.9,319,2.0
2024-01-01 08:00:00,6.6,25.8,66.2,324,2.3
2024-01-01 09:00:00,6.7,26.0,66.5,326,2.4
2024-01-01 10:00:00,6.5,26.2,66.8,322,2.2
2024-01-01 11:00:00,6.6,26.5,67.0,323,2.3
2024-01-01 12:00:00,6.8,26.8,67.3,327,2.5
2024-01-01 13:00:00,6.7,27.0,67.5,325,2.4
2024-01-01 14:00:00,6.6,27.2,67.8,324,2.3
2024-01-01 15:00:00,6.5,27.0,67.5,322,2.2
2024-01-01 16:00:00,6.4,26.8,67.2,320,2.1
2024-01-01 17:00:00,6.5,26.5,66.9,321,2.1
2024-01-01 18:00:00,6.6,26.2,66.5,323,2.2
2024-01-01 19:00:00,6.7,25.9,66.1,325,2.3
2024-01-01 20:00:00,6.5,25.6,65.7,321,2.1
2024-01-01 21:00:00,6.4,25.4,65.4,319,2.0
2024-01-01 22:00:00,6.6,25.2,65.1,322,2.2
2024-01-01 23:00:00,6.5,25.0,64.8,320,2.1
2024-01-02 00:00:00,6.6,24.9,64.5,323,2.2
2024-01-02 01:00:00,6.4,24.8,64.3,318,2.0
2024-01-02 02:00:00,6.7,25.0,64.6,325,2.3
2024-01-02 03:00:00,6.5,25.1,64.9,321,2.1
2024-01-02 04:00:00,6.6,25.3,65.2,323,2.2
2024-01-02 05:00:00,6.8,25.5,65.5,327,2.5
2024-01-02 06:00:00,6.5,25.7,65.8,322,2.2
2024-01-02 07:00:00,6.4,25.9,66.1,319,2.0
2024-01-02 08:00:00,6.6,26.1,66.4,324,2.3
2024-01-02 09:00:00,6.7,26.4,66.7,326,2.4
2024-01-02 10:00:00,6.6,26.6,67.0,323,2.3
2024-01-02 11:00:00,6.5,26.9,67.3,322,2.2
2024-01-02 12:00:00,6.7,27.1,67.6,325,2.4
2024-01-02 13:00:00,6.8,27.3,67.9,327,2.5
2024-01-02 14:00:00,6.6,27.5,68.1,324,2.3
2024-01-02 15:00:00,6.5,27.2,67.8,321,2.2
2024-01-02 16:00:00,6.4,26.9,67.4,319,2.0
2024-01-02 17:00:00,6.6,26.6,67.0,323,2.2
2024-01-02 18:00:00,6.7,26.3,66.6,325,2.3
2024-01-02 19:00:00,6.5,26.0,66.2,322,2.2
2024-01-02 20:00:00,6.4,25.7,65.8,320,2.1
2024-01-02 21:00:00,6.6,25.4,65.4,323,2.2
2024-01-02 22:00:00,6.5,25.1,65.0,321,2.1
2024-01-02 23:00:00,6.7,24.9,64.7,325,2.3
